ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer 
10 43 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1.0 1.0 6 1 0.25 0.2 0 0 0 0 0 0 0
11 26 100 0.05 1.0 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 0 0 0 0 0 0 0
12 70 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1.0 1.0 6 1 0.25 0.2 0 0 0 0 0 0 0
13 9 100 0.05 1.0 1.0 5000 1.0 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 0 0 0 0 0 0 0
14 53 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 0 0 0 0 0 0 0
15 56 100 0.05 0.5 1.0 5000 1.0 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
16 6 100 0.05 1.0 1.0 5000 1.0 0.1 0.5 40 0.5 0.25 4 1 0.25 0.2 0 0 0 0 0 0 0
17 11 100 0.05 1.0 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
18 65 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
19 2 100 0.05 1.0 1.0 5000 1.0 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 0
110 75 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 0 0 0 0 0 0 0
111 45 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 0 0 0 0 0 0 0
112 16 100 0.05 1.0 0.3 2000 0.3 0.3 0.5 20 1.0 1.0 6 1 0.25 0.2 0 0 0 0 0 0 0
113 40 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1.0 1.0 4 1 0.25 0.2 0 0 0 0 0 0 0
114 37 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1.0 1.0 2 1 0.25 0.2 0 0 0 0 0 0 0
115 73 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1.0 1.0 2 1 0.25 0.2 0 0 0 0 0 0 0
