Sim	Run	Time	totMass	NInd	abovemass	belowmass	BareGround	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	NGenets
1	0	0	174798	93	81259	88984.2	0.0164	100	60	3.287	nan	52	nan	0	93	0	93
1	0	1	130012	74	31791.7	97588	0.0692	100	60	3.50276	nan	42	nan	0	74	0	74
1	0	2	137412	67	44314.4	92115.2	0.0148	100	60	3.35022	nan	39	nan	0	67	0	67
1	0	3	191006	80	87378	98565.4	0.006	100	60	3.27633	nan	37	nan	0	80	0	80
1	0	4	152165	68	59379.3	89551.5	0.078	100	60	3.11826	nan	33	nan	0	68	0	68
1	0	5	145698	81	49275.1	94451.5	0.132	100	60	2.94136	nan	30	nan	0	81	0	81
1	0	6	161809	90	61356.7	97117.8	0.0392	100	60	3.02269	nan	29	nan	0	90	0	90
1	0	7	132997	95	33343.3	98977.4	0.026	100	60	2.93623	nan	28	nan	0	95	0	95
1	0	8	163288	95	65458.9	94101.7	0.0296	100	60	2.83481	nan	26	nan	0	95	0	95
1	0	9	128892	87	39402.6	88492.6	0.0116	100	60	2.7899	3.10596	24	34	0	87	0	87
1	0	10	142193	88	53052.8	86676.6	0.06	100	60	2.75144	3.0524	23	31.1	0	88	0	88
1	0	11	142429	81	55472.9	84600.6	0.0648	100	60	2.78655	2.98078	23	29.2	0	81	0	81
1	0	12	119443	93	32404.5	86721.3	0.33	100	60	2.68634	2.91439	20	27.3	0	93	0	93
1	0	13	150062	90	66909.8	79397.1	0.0692	100	60	2.43366	2.83012	20	25.6	0	90	0	90
1	0	14	132995	117	40294.5	91983.8	0.214	100	60	2.4446	2.76276	19	24.2	0	117	0	117
1	0	15	171487	109	73576.9	93842.9	0.0284	100	60	2.51721	2.72034	19	23.1	0	109	0	109
1	0	16	157383	100	67970	85598.5	0.0408	100	60	2.52901	2.67097	19	22.1	0	100	0	100
1	0	17	114662	101	33569.6	80393.1	0.0772	100	60	2.37789	2.61514	18	21.1	0	101	0	101
1	0	18	165348	108	78629.8	82143.8	0.016	100	60	2.25514	2.55717	18	20.3	0	108	0	108
1	0	19	111585	119	25726	85341.8	0.1072	100	60	2.31751	2.50994	18	19.7	0	119	0	119
1	0	20	167236	104	79956.7	82600.6	0.0324	100	60	2.24716	2.45951	17	19.1	0	104	0	104
1	0	21	149837	129	56689.2	90849.8	0.074	100	60	2.30647	2.4115	16	18.4	0	129	0	129
1	0	22	173320	117	81265.6	87391.4	0.0128	100	60	2.27567	2.37043	16	18	0	117	0	117
1	0	23	146851	100	63964.6	79342.6	0.0568	100	60	2.28533	2.3556	16	17.6	0	100	0	100
1	0	24	127795	110	41221.3	85902.5	0.2176	100	60	2.42318	2.35346	16	17.3	0	110	0	110
1	0	25	160640	119	68032.1	88883.3	0.0252	100	60	2.33207	2.33494	16	17	0	119	0	119
1	0	26	122890	121	35468.4	87077.3	0.268	100	60	2.26349	2.30839	16	16.7	0	121	0	121
1	0	27	157152	118	70168.8	83020.8	0.0276	100	60	2.19132	2.28974	14	16.3	0	118	0	118
1	0	28	160820	116	73270.5	83421.3	0.0272	100	60	2.19044	2.28327	13	15.8	0	116	0	116
1	0	29	134822	126	46720.4	86258.2	0.116	100	60	2.15138	2.26665	13	15.3	0	126	0	126
1	0	30	175550	129	81449.3	89333.1	0.0156	100	60	2.24843	2.26678	13	14.9	0	129	0	129
1	0	31	123635	126	33442.3	89555.3	0.0368	100	60	2.33384	2.26952	13	14.6	0	126	0	126
1	0	32	112994	112	30891.1	81506.5	0.0516	100	60	2.24403	2.26635	12	14.2	0	112	0	112
1	0	33	166270	117	76288.9	85344.2	0.0304	100	60	2.17731	2.25555	12	13.8	0	117	0	117
1	0	34	168216	119	78296	85090.4	0.0192	100	60	2.17453	2.23068	12	13.4	0	119	0	119
1	0	35	165351	109	78859.5	81573.3	0.01	100	60	2.13878	2.21136	11	12.9	0	109	0	109
1	0	36	134163	106	53231.1	78398.5	0.0752	100	60	2.12889	2.1979	10	12.3	0	106	0	106
1	0	37	162886	118	74449.5	83814.6	0.0316	100	60	2.12971	2.19173	10	11.9	0	118	0	118
1	0	38	173136	124	80627.7	87635.7	0.0072	100	60	2.13924	2.18661	10	11.6	0	124	0	124
1	0	39	158679	109	71829.9	82588.2	0.0196	100	60	2.13717	2.18519	10	11.3	0	109	0	109
1	0	40	127513	117	40605.3	85971.2	0.018	100	60	2.13374	2.17372	10	11	0	117	0	117
1	0	41	152699	123	58001.3	92420.7	0.0492	100	60	2.05198	2.14554	10	10.7	0	123	0	123
1	0	42	166167	123	72484.1	89492.7	0.0112	100	60	2.04475	2.12561	10	10.5	0	123	0	123
1	0	43	153138	106	67767.4	81455.1	0.0152	100	60	2.06448	2.11433	10	10.3	0	106	0	106
1	0	44	131178	102	49598.6	79300.2	0.062	100	60	2.01254	2.09813	9	10	0	102	0	102
