Sim	Run	Time	Inds	seeds	cover	rootmass	shootmass	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer	
1	0	0	2	0	0.0526267	3997.37	2887.89	1	NA	NA	0.05	1	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0325667	1785.57	1275	13	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0149	812.28	716.488	14	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0169	1463.74	1765.03	15	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	4	0	0.0401333	2253.02	1877.02	16	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0246333	1942.53	1682.98	17	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00763333	384.483	340.753	22	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00676667	431.772	391.693	23	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.02136	1032.76	841.199	25	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0125	648.622	632.472	26	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.02908	2286.44	1809.87	28	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0240667	2021.62	1994.2	29	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0226	1819.96	2258.9	30	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0607933	5908.62	4398.75	31	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0148333	1932.09	1666.76	32	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.01996	3474.83	3652.09	33	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0157467	1885.15	1363.38	34	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0097	903.238	1025.6	36	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0624733	5780.98	4001.32	4	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0220267	1593.48	1259.13	40	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0201333	1645.46	1625.33	41	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0151133	1516.17	2012.47	42	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0096	844.47	875.953	44	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.00802667	712.065	939.078	45	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0116667	426.762	378.448	46	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0228133	1210.49	1084.99	49	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0639667	6220.48	4883.79	5	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.01098	350.64	430.31	50	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00740667	356.34	477.271	51	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0129667	748.37	845.292	53	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00346667	282.495	433.445	54	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0448333	4016.02	4559.95	56	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0152667	1922.3	1634.61	58	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.02384	3472.49	3162.12	59	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0317	3480.52	4244.92	60	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	4	0	0.0383533	4710.34	3481.46	61	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00395333	780.916	681.469	62	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.01184	1479.86	1604.56	63	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0138333	839.441	771.043	67	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0231333	1763.04	2005.16	68	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00608	666.635	993.951	69	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.04804	2210.59	1549.9	7	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0168133	1409.44	1184.25	70	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0077	767.448	708.748	71	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0018	152.848	243.282	72	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0076	436.98	439.568	76	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	2	0	0.0122667	862.97	976.411	77	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00474667	288.914	514.976	78	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	3	0	0.0186267	1236.8	1114.25	79	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00764667	1149.66	766.175	8	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.00278	184.932	278.538	80	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	0	1	0	0.0045	479.825	516.783	9	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0301333	2036.59	299.385	1	NA	NA	0.05	1	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
