Sim	Run	T	mPop	cPop	TE	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer
1	0	100	0	0	4	1	NA	NA	0.05	1	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	10	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	11	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	12	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	8.3	11	0	13	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	14	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	19.2	15	0	15	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	72	16	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	5	17	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	18	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	19	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	2	NA	NA	0.05	1	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	20	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	21	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	22	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
