ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
1 PFT1clonal1 100 0.05 1 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
2 PFT2clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
3 PFT3clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
4 PFT4clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
5 PFT5clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
6 PFT6clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
7 PFT7clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
8 PFT8clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
9 PFT9clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
10 PFT10clonal1 100 0.05 1 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
11 PFT11clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
12 PFT12clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
13 PFT13clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
14 PFT14clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
15 PFT15clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
16 PFT16clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
17 PFT17clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
18 PFT18clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
19 PFT19clonal1 100 0.05 1 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
20 PFT20clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
21 PFT21clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
22 PFT22clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
23 PFT23clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
24 PFT24clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
25 PFT25clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
26 PFT26clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
27 PFT27clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
28 PFT28clonal1 100 0.05 1 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
29 PFT29clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
30 PFT30clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
31 PFT31clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
32 PFT32clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
33 PFT33clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
34 PFT34clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
35 PFT35clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
36 PFT36clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
37 PFT37clonal1 100 0.05 1 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
38 PFT38clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
39 PFT39clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
40 PFT40clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
41 PFT41clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
42 PFT42clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
43 PFT43clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
44 PFT44clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
45 PFT45clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
46 PFT46clonal1 100 0.05 1 1 5000 1 0.1 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
47 PFT47clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
48 PFT48clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
